time,travelReason,trips
8:05 AM,travelToClass,249311.304
8:05 AM,returnHomeFromNonworkLoc,52696.56169
8:05 AM,otherTrip,442147.6924
8:10 AM,travelToWork,462469.4242
8:10 AM,returnHomeFromWork,15323.83582
8:10 AM,travelToClass,240057.3735
8:10 AM,returnHomeFromNonworkLoc,54265.15998
8:10 AM,otherTrip,456690.2786
8:15 AM,travelToWork,427812.6864
8:15 AM,returnHomeFromWork,14118.65021
8:15 AM,travelToClass,216639.8897
8:15 AM,returnHomeFromNonworkLoc,52030.45541
8:15 AM,otherTrip,436076.0538
8:20 AM,travelToWork,423151.1015
8:20 AM,returnHomeFromWork,14175.13912
8:20 AM,travelToClass,217237.7168
8:20 AM,returnHomeFromNonworkLoc,52183.74642
8:20 AM,otherTrip,451779.6788
8:25 AM,travelToWork,401754.8347
8:25 AM,returnHomeFromWork,13410.44809
8:25 AM,travelToClass,210274.5435
8:25 AM,returnHomeFromNonworkLoc,49180.30102
8:25 AM,otherTrip,450630.5253
8:30 AM,travelToWork,376017.3883
8:30 AM,returnHomeFromWork,12840.63238
8:30 AM,travelToClass,200605.311
8:30 AM,returnHomeFromNonworkLoc,47734.37808
8:30 AM,otherTrip,443553.5077
8:35 AM,travelToWork,357676.3311
8:35 AM,returnHomeFromWork,12394.28416
8:35 AM,travelToClass,194819.9395
8:35 AM,returnHomeFromNonworkLoc,51151.70832
8:35 AM,otherTrip,453379.4385
8:40 AM,travelToWork,335589.9669
8:40 AM,returnHomeFromWork,11895.44508
8:40 AM,travelToClass,184396.393
8:40 AM,returnHomeFromNonworkLoc,54274.71742
8:40 AM,otherTrip,463097.694
8:45 AM,travelToWork,302181.1022
8:45 AM,returnHomeFromWork,10565.08722
8:45 AM,travelToClass,159197.6946
8:45 AM,returnHomeFromNonworkLoc,55394.8042
8:45 AM,otherTrip,446134.0458
8:50 AM,travelToWork,289398.1011
8:50 AM,returnHomeFromWork,10591.33569
8:50 AM,travelToClass,145043.9228
8:50 AM,returnHomeFromNonworkLoc,62626.54207
8:50 AM,otherTrip,482691.2322
8:55 AM,travelToWork,260906.6844
8:55 AM,returnHomeFromWork,9919.942083
8:55 AM,travelToClass,119537.462
8:55 AM,returnHomeFromNonworkLoc,68513.59699
8:55 AM,otherTrip,491996.5894
9:00 AM,travelToWork,228897.4806
9:00 AM,returnHomeFromWork,9122.438746
9:00 AM,travelToClass,89203.34741
9:00 AM,returnHomeFromNonworkLoc,71579.25728
9:00 AM,otherTrip,481027.7325
9:05 AM,travelToWork,200826.8439
9:05 AM,returnHomeFromWork,8525.391716
9:05 AM,travelToClass,64890.90671
9:05 AM,returnHomeFromNonworkLoc,74983.1526
9:05 AM,otherTrip,478222.1071
9:10 AM,travelToWork,171728.4392
9:10 AM,returnHomeFromWork,8211.328212
9:10 AM,travelToClass,45907.00059
9:10 AM,returnHomeFromNonworkLoc,77106.82852
9:10 AM,otherTrip,474992.2488
9:15 AM,travelToWork,139408.5337
9:15 AM,returnHomeFromWork,7531.576141
9:15 AM,travelToClass,27772.53504
9:15 AM,returnHomeFromNonworkLoc,71514.8776
9:15 AM,otherTrip,430230.992
9:20 AM,travelToWork,127992.7663
9:20 AM,returnHomeFromWork,7537.572879
9:20 AM,travelToClass,23481.24529
9:20 AM,returnHomeFromNonworkLoc,69506.83727
9:20 AM,otherTrip,432484.1973
9:25 AM,travelToWork,115099.8538
9:25 AM,returnHomeFromWork,7157.550963
9:25 AM,travelToClass,20710.72533
9:25 AM,returnHomeFromNonworkLoc,65665.55744
9:25 AM,otherTrip,422355.1046
9:30 AM,travelToWork,104220.1133
9:30 AM,returnHomeFromWork,6625.377207
9:30 AM,travelToClass,19127.89874
9:30 AM,returnHomeFromNonworkLoc,62217.32737
9:30 AM,otherTrip,408478.6208
9:35 AM,travelToWork,99004.96682
9:35 AM,returnHomeFromWork,6185.384954
9:35 AM,travelToClass,19039.54731
9:35 AM,returnHomeFromNonworkLoc,62254.14909
9:35 AM,otherTrip,406406.626
